crop_name
Acorn Powder
Agave Seed
Amanita Mushroom Spores
Bean Paste
Bean Sprout
Beet Seed
Beet Sugar
Bolete Mushroom Spores
Camas Paste
Carved Pumpkin
Clay Mold
Colored Powder
Cookeina Mushroom Spores
Corn Seed
Cornmeal
Cotton Lint
Cotton Seed
Cottonseed Oil
Craft Heart of Palm Seed
Creosote Bush Seed
Crimini Mushroom Spores
Fern Spore
Fireweed Seed
Fish Oil
Flax Fiber
Flax Seed
Flaxseed Oil
Flour
Garden Hedges
Gathering Advanced Upgrade
Giant Cactus Fruit Seed
Grow Agave
Grow AmanitaMushrooms
Grow Beans
Grow Beets
Grow BoleteMushrooms
Grow CamasBulbs
Grow CookeinaMushrooms
Grow Corn
Grow Cotton Boll
Grow CriminiMushrooms
Grow Fiddleheads
Grow Fireweed Shoots
Grow Flax
Grow GiantCactusFruit
Grow heart of palm
Grow Huckleberries
Grow Kelp
Grow Papayas
Grow Pineapples
Grow Plant Fibers
Grow Prickly Pear Fruit
Grow Pumpkins
Grow Rice
Grow Sunflowers
Grow Taro Root
Grow Tomato
Grow Wheat
Huckleberry Extract
Huckleberry Seed
Ink
Oil
Oil Paint
Orchid Seed
Papaya Seed
Pineapple Seed
Prickly Pear Seed
Pumpkin Seed
Refine Heart Of Palm
Rice Flour
Salt Basket
Simple Syrup
Sugar
Sun Cheese
Sunflower Oil
Sunflower Seed
Tallow Candle
Taro Seed
Tomato Seed
Trillium Seed
Wheat Seed
Yeast
